year;week;temp;tmin;tmax;rhum;wspd;wpgt;pres
2019;27;20.514;13.829;26.614;53.429;6.386;23.286;1014.257
2019;28;15.686;10.843;20.643;61.429;7.529;27.000;1012.657
2019;29;17.943;11.414;24.914;65.143;5.543;20.629;1014.971
2019;30;20.614;15.500;25.743;72.571;4.686;19.057;1014.657
2019;31;20.500;16.257;26.014;70.857;5.486;21.157;1011.157
2019;32;21.143;15.486;27.700;67.286;5.600;21.443;1013.400
2019;33;18.071;12.757;23.857;77.000;4.486;17.200;1015.686
2019;34;19.657;15.043;25.857;77.714;5.143;23.029;1023.057
2019;35;21.700;15.786;30.200;73.429;4.529;18.786;1019.771
2019;36;16.243;11.386;21.571;75.857;4.429;18.529;1019.186
2019;37;15.171;8.914;21.986;72.857;4.914;22.486;1024.400
2019;38;11.100;6.214;16.914;72.571;6.743;27.257;1021.143
2019;39;13.457;8.471;19.014;76.714;5.086;18.514;1013.929
2019;40;17.000;12.100;21.100;57.000;18.300;61.100;1003.400
2020;27;21.100;15.980;27.180;72.800;4.820;17.040;1013.440
2020;28;17.700;12.157;23.371;73.857;5.729;21.429;1017.129
2020;29;16.086;11.314;20.829;80.429;4.429;16.400;1017.286
2020;30;18.900;13.371;25.057;75.000;4.671;16.157;1015.971
2020;31;20.429;14.057;26.857;70.000;4.743;19.586;1016.214
2020;32;20.800;15.686;26.886;75.714;5.200;21.429;1017.029
2020;33;20.857;14.443;27.871;69.286;4.586;19.843;1016.500
2020;34;20.229;15.686;25.586;79.571;4.486;16.686;1012.971
2020;35;19.714;13.771;25.929;68.571;7.371;30.157;1011.057
2020;36;16.743;12.229;21.743;79.571;4.929;17.486;1017.186
2020;37;15.843;10.143;22.200;81.000;3.900;14.814;1022.957
2020;38;15.114;8.343;22.829;79.571;4.043;16.157;1024.800
2020;39;15.186;8.929;22.371;76.571;5.857;21.700;1008.814
2020;40;11.467;8.900;14.900;91.000;4.433;17.900;1011.933
2021;26;18.075;15.250;21.725;82.750;5.650;22.700;1012.425
2021;27;22.657;16.543;28.814;70.429;5.143;20.386;1015.743
2021;28;22.400;17.943;27.671;80.429;4.843;21.186;1013.014
2021;29;19.471;15.371;23.700;73.857;5.257;18.257;1016.871
2021;30;21.614;16.614;27.771;77.857;4.686;23.029;1011.629
2021;31;17.786;13.186;22.371;82.000;6.300;21.971;1010.714
2021;32;20.129;14.229;26.686;76.429;4.243;15.357;1019.786
2021;33;17.900;12.957;23.643;77.429;4.171;16.143;1015.900
2021;34;13.571;10.629;16.543;89.571;3.814;14.571;1015.057
2021;35;13.800;10.443;17.543;84.143;5.643;23.029;1018.471
2021;36;14.814;7.157;23.814;76.286;3.457;14.300;1022.143
2021;37;15.100;11.286;19.771;85.571;4.829;18.800;1015.143
2021;38;12.043;8.371;15.457;81.571;6.486;24.886;1019.514
2021;39;12.550;8.925;16.825;89.250;3.800;17.600;1022.625
2022;26;22.333;16.500;29.067;67.000;5.533;21.000;1017.967
2022;27;17.943;13.986;22.386;72.429;5.086;22.486;1018.414
2022;28;17.257;12.786;22.400;66.857;9.000;35.700;1018.757
2022;29;21.314;13.386;29.586;63.857;4.800;20.371;1020.029
2022;30;19.086;14.243;25.014;77.000;4.900;20.114;1014.943
2022;31;20.414;15.100;25.757;70.000;4.814;19.571;1018.157
2022;32;18.043;13.571;23.343;75.857;4.900;20.357;1020.543
2022;33;22.357;16.886;28.843;75.286;4.457;18.529;1010.600
2022;34;20.543;15.814;26.714;78.000;4.086;17.457;1014.400
2022;35;15.514;10.786;20.429;75.000;4.414;19.043;1020.300
2022;36;16.300;11.729;21.600;77.143;4.829;21.171;1017.200
2022;37;13.329;9.786;17.314;80.286;5.514;23.814;1008.500
2022;38;9.443;6.057;13.543;84.857;4.429;18.000;1017.757
2022;39;11.660;9.100;15.480;86.000;4.460;17.040;1005.420
2023;26;19.750;16.650;24.000;78.000;3.800;17.600;1007.800
2023;27;19.914;13.300;26.329;64.714;4.586;19.571;1017.929
2023;28;21.586;14.886;27.829;68.143;4.800;20.657;1016.200
2023;29;19.443;13.943;25.600;72.286;4.800;21.700;1014.486
2023;30;17.971;13.100;23.629;80.143;5.100;21.700;1009.314
2023;31;18.929;14.929;24.314;80.429;4.686;17.486;1007.757
2023;32;16.957;11.800;22.929;72.286;4.629;18.786;1018.000
2023;33;22.643;16.743;29.786;72.857;4.414;19.057;1019.914
2023;34;22.300;17.414;28.571;78.429;4.129;16.157;1016.157
2023;35;17.757;14.743;22.243;85.714;4.214;17.200;1013.257
2023;36;16.743;10.229;24.614;77.714;3.914;16.129;1024.829
2023;37;18.571;13.114;25.143;78.143;3.871;14.557;1018.357
2023;38;17.729;13.229;22.386;78.571;6.443;24.600;1014.700
2023;39;16.150;10.800;23.117;82.000;4.317;17.600;1024.733
2024;27;19.057;14.257;23.571;73.000;5.414;20.643;1011.014
2024;28;23.271;18.600;29.114;78.571;4.614;18.786;1015.643
2024;29;22.414;17.471;28.429;72.143;4.500;17.200;1015.871
2024;30;20.314;14.600;25.543;70.429;4.743;19.586;1014.957
2024;31;18.414;12.729;24.186;74.000;5.229;18.800;1014.357
2024;32;19.071;13.971;24.757;79.714;3.986;16.671;1016.014
2024;33;22.100;15.529;29.057;69.857;4.443;16.943;1014.729
2024;34;21.086;15.286;28.086;74.571;4.514;16.143;1014.714
2024;35;21.886;16.471;27.986;71.143;4.643;16.400;1020.271
2024;36;21.086;13.243;30.014;62.714;5.443;23.286;1017.271
2024;37;15.829;12.586;20.943;84.714;5.086;18.257;1008.014
2024;38;13.700;8.086;21.171;81.429;4.443;21.171;1023.143
2024;39;15.186;9.943;20.371;75.857;5.957;25.143;1012.943
2024;40;8.100;3.500;13.000;80.000;4.300;14.800;1024.800
2025;27;20.800;11.633;28.933;56.333;4.733;20.683;1018.850
2025;28;17.571;13.186;22.286;76.000;7.629;26.714;1010.457
2025;29;19.043;14.314;24.200;75.143;5.471;19.843;1012.300
