year;week;honey
2019;30;66
2019;32;55
2019;33;134
2019;34;72
2019;35;59
2019;36;147
2020;26;410.9
2020;29;63
2020;30;140
2020;31;84.7
2020;33;53.9
2020;36;329
2021;24;70.7
2021;25;94.5
2021;28;161.7
2021;29;120.4
2021;30;63
2021;33;262.5
2021;34;126
2021;35;301
2022;25;46.9
2022;26;289.1
2022;28;143.5
2022;29;54.6
2022;30;119.7
2022;33;77.7
2022;34;114.1
2022;35;64.4
2022;36;226.1
2023;26;131.6
2023;27;159.6
2023;33;81.9
2023;35;171.5
2024;27;126.7
2024;28;45.5
2024;30;134.4
2024;31;72.8
2024;32;105
2024;33;65.8
2024;34;100.1
2024;35;53.9
2024;37;148.4
2025;28;126.7
2025;31;191.1
2025;33;42
2025;35;109.9
2025;36;217
