year,month,week,temp,wspd,prcp,pres
2019,5,18,8.644572,2.9526174,0.24727583,940.72546
2019,5,19,8.801729,2.9396274,0.1633139,946.07404
2019,5,20,10.284056,2.5884106,0.20070302,949.0886
2019,5,21,13.292661,2.6890588,0.3713341,943.7372
2019,5,22,13.032857,2.9484258,0.20531416,949.50854
2019,6,22,16.75849,2.231528,0.061581533,954.3139
2019,6,23,18.675064,2.1388254,0.07962613,951.06085
2019,6,24,22.546642,2.4610012,0.06591138,950.9203
2019,6,25,18.317917,1.8719862,0.22985537,951.6001
2019,6,26,20.379887,2.6647096,0.026714234,955.5636
2019,7,27,18.11231,2.515738,0.051262833,949.1542
2019,7,28,13.498122,2.5605948,0.0973656,946.6541
2019,7,29,16.344795,2.0827034,0.105562665,949.4499
2019,7,30,18.468962,2.068542,0.1258765,949.43176
2019,7,31,20.53072,1.9836497,0.2951026,944.399
2019,8,31,16.599915,2.2277384,0.1347959,947.83453
2019,8,32,19.387705,1.9721906,0.17124414,948.6381
2019,8,33,16.821316,1.9240848,0.1082023,949.98334
2019,8,34,18.534908,1.9060171,0.03222057,957.32385
2019,8,35,20.535137,1.6648177,0.08206235,955.53265
2019,9,35,20.827639,1.8998361,0.0051657357,949.22394
2019,9,36,14.585352,2.1346521,0.2738351,952.83826
2019,9,37,13.7963705,2.1886058,0.07614919,957.57294
2019,9,38,9.614915,2.8706927,0.05367824,953.54755
2019,9,39,12.063129,2.1230145,0.029271558,947.44995
2019,9,40,15.315491,5.52984,0.034451485,938.8811
2020,5,18,9.339484,2.6006675,0.14989243,942.273
2020,5,19,9.689781,3.1469603,0.105420746,948.5465
2020,5,20,8.362302,2.8187573,0.13330153,947.68524
2020,5,21,11.457434,2.8266022,0.1105354,954.31995
2020,5,22,10.095912,3.6593547,0.4015849,954.67957
2020,6,23,14.266441,3.0160136,0.10904528,941.68414
2020,6,24,16.970907,2.0265849,0.16834623,945.0763
2020,6,25,16.283993,2.0289807,0.42461497,945.0786
2020,6,26,18.325548,3.2815197,0.26750848,952.1657
2020,6,27,18.972013,2.3084238,0.30830503,946.2128
2020,7,27,20.103472,1.7764523,0.11569659,948.6265
2020,7,28,16.432083,2.777226,0.21349816,951.30164
2020,7,29,14.883089,1.758847,0.23877904,950.9788
2020,7,30,17.95722,1.5893453,0.08902095,950.49146
2020,7,31,19.68382,2.03954,0.11217197,951.462
2020,8,31,16.550524,2.1986895,0.001947085,950.1679
2020,8,32,19.876999,2.1876202,0.08566323,951.83386
2020,8,33,19.290073,1.5073475,0.025082203,951.35614
2020,8,34,18.611887,1.9472482,0.29655012,947.9453
2020,8,35,18.126442,2.9442785,0.051262833,946.10516
2020,8,36,18.0139,3.0640357,0.069876514,946.9722
2020,9,36,14.670748,1.8634249,0.3006392,951.9107
2020,9,37,15.006514,1.6950923,0.08210965,956.47284
2020,9,38,14.5415125,1.9793667,0.0056681177,957.87274
2020,9,39,13.759805,2.6250403,0.0678017,943.16675
2020,9,40,10.414246,3.0489876,0.6148153,944.756
2021,5,17,11.908512,3.0584574,0.2151231,941.97675
2021,5,18,8.918129,3.741666,0.120653994,946.4599
2021,5,19,14.686462,2.679662,0.11124498,942.4069
2021,5,20,10.826248,3.0014606,0.33742756,944.7806
2021,5,21,11.413997,2.7932498,0.15390202,951.4497
2021,5,22,10.310866,2.977102,0.2484123,952.7304
2021,6,22,13.935675,1.6637939,0.06750226,955.1892
2021,6,23,16.383196,2.9279847,0.0758313,951.4137
2021,6,24,18.760502,2.2509341,0.009042876,952.7115
2021,6,25,21.142166,2.0164905,0.05735386,949.4189
2021,6,26,20.852959,1.5171652,0.16299221,948.0921
2021,7,26,16.767883,2.8453772,0.23213029,946.7426
2021,7,27,21.63445,1.9404727,0.034352142,951.0866
2021,7,28,21.55141,2.1968937,0.36007732,948.2976
2021,7,29,18.04777,2.5454106,0.03249021,951.1854
2021,7,30,21.32877,1.9486071,0.1568132,947.5469
2021,8,30,18.603987,2.7500594,0.42968988,942.84564
2021,8,31,16.967358,2.322366,0.39573225,945.2447
2021,8,32,19.464432,1.7366159,0.04057657,954.24146
2021,8,33,16.839525,1.7635287,0.089577265,950.1032
2021,8,34,12.333471,1.9874212,0.4105568,948.1472
2021,8,35,12.025319,2.7474241,1.5682281,944.90656
2021,9,35,12.802623,2.86556,0.08980036,954.32733
2021,9,36,14.110601,1.5185515,0.00049670535,955.2577
2021,9,37,14.083568,2.4546542,0.22242182,948.6692
2021,9,38,10.705791,3.151703,0.0660533,952.15466
2021,9,39,11.603585,1.9901352,0.22956729,955.29047
2022,5,17,12.383378,0.84111005,0.020722548,953.22516
2022,5,18,12.390608,1.295954,0.20637682,953.18823
2022,5,19,14.376287,2.2439668,0.042759236,953.02356
2022,5,20,13.616528,2.6546688,0.017844494,953.3114
2022,5,21,12.565432,2.6449208,0.10254554,947.6876
2022,5,22,13.093731,1.672223,0.041037798,947.686
2022,6,22,16.402147,1.814871,0.026333332,952.72833
2022,6,23,18.115652,2.1571345,0.07919754,949.787
2022,6,24,16.394745,2.4935706,0.10241497,953.0167
2022,6,25,18.900545,2.676588,0.015077136,948.0817
2022,6,26,23.240768,1.8720161,0.04567206,951.5617
2022,7,26,21.30487,2.4228046,0.0186695,952.82983
2022,7,27,16.674854,2.6872578,0.36396015,952.1688
2022,7,28,15.802976,3.3266773,0.08378142,952.6193
2022,7,29,20.628635,1.782273,0.04246689,954.58966
2022,7,30,17.950062,2.0759375,0.26400885,949.2177
2022,8,31,19.220367,2.242844,0.04164662,952.6982
