year;week;honey;harvest
2019;30;66;1
2019;32;55;1
2019;33;134;2
2019;34;72;1
2019;35;59;1
2019;36;147;1
2020;26;410.9;2
2020;29;63;1
2020;30;140;1
2020;31;84.7;1
2020;33;53.9;1
2020;36;329;1
2021;24;70.7;1
2021;25;94.5;1
2021;28;161.7;1
2021;29;120.4;1
2021;30;63;1
2021;33;262.5;3
2021;34;126;1
2021;35;301;1
2022;25;46.9;1
2022;26;289.1;3
2022;28;143.5;1
2022;29;54.6;1
2022;30;119.7;1
2022;33;77.7;1
2022;34;114.1;1
2022;35;64.4;1
2022;36;226.1;1
2023;26;131.6;2
2023;27;159.6;1
2023;33;81.9;1
2023;35;171.5;1
2024;27;126.7;1
2024;28;45.5;1
2024;30;134.4;1
2024;31;72.8;1
2024;32;105;1
2024;33;65.8;1
2024;34;100.1;1
2024;35;53.9;1
2024;37;148.4;1
2025;28;126.7;1
2025;31;191.1;3
2025;33;42;1
2025;35;109.9;1
2025;36;217;3
